k,x0,x1,x2,x3,u0,u1
0,0,0,0,2.5,-1.00004,-0.450165
1,0.25,0,-0.0431481,2.4,-1.00004,-0.450146
2,0.489776,-0.0103523,-0.0845682,2.29999,-1.00004,-0.309079
3,0.718953,-0.0297797,-0.110797,2.19999,-1.00003,-0.0762203
4,0.937603,-0.0541052,-0.116798,2.09998,-1.00003,0.106067
5,1.14617,-0.0785768,-0.108813,1.99998,-1.00003,0.277052
6,1.34499,-0.100296,-0.0885011,1.89998,-1.00004,0.449993
7,1.53424,-0.117089,-0.0557233,1.79997,-1.00179,0.450006
8,1.71396,-0.127114,-0.0246698,1.69979,-0.843518,0.450019
9,1.88389,-0.131307,0.00465641,1.61544,-0.704877,0.450028
10,2.04543,-0.130555,0.032528,1.54496,-0.58252,0.450035
11,2.19984,-0.12553,0.0591839,1.4867,-0.473398,0.450039
12,2.34825,-0.116737,0.084835,1.43936,-0.374803,0.450042
13,2.49167,-0.10454,0.109669,1.40188,-0.284316,0.450043
14,2.63102,-0.0891968,0.133857,1.37345,-0.199753,0.450043
15,2.76713,-0.070867,0.157555,1.35348,-0.119132,0.450043
16,2.90081,-0.0496305,0.180907,1.34156,-0.040626,0.450042
17,3.03277,-0.0254927,0.204055,1.3375,0.037472,0.450041
18,3.16375,0.00161055,0.227131,1.34125,0.116777,0.450039
19,3.29443,0.0318132,0.250273,1.35293,0.198843,0.450037
20,3.42551,0.0653209,0.273616,1.37281,0.285183,0.450035
21,3.55768,0.102416,0.297302,1.40133,0.37729,0.450033
22,3.69166,0.143467,0.321479,1.43906,0.476652,0.450032
23,3.8282,0.188937,0.346308,1.48672,0.584748,0.45003
24,3.96804,0.2394,0.371959,1.5452,0.70302,0.450029
25,4.112,0.295559,0.398618,1.6155,0.832664,0.450029
26,4.26088,0.358264,0.426491,1.69877,0.943098,0.450032
27,4.41554,0.428538,0.4558,1.79308,0.999963,0.45004
28,4.57654,0.507466,0.486738,1.89307,0.999927,0.450056
29,4.74386,0.596013,0.519401,1.99306,0.999952,0.450074
30,4.91689,0.694941,0.553792,2.09306,0.99993,0.450089
31,5.09491,0.805019,0.58991,2.19305,0.999887,0.450119
32,5.27715,0.927015,0.627756,2.29304,0.999909,0.450156
33,5.46273,1.06169,0.667331,2.39303,0.999858,0.450198
34,5.6507,1.2098,0.708636,2.49302,0.999836,0.450244
35,5.83998,1.37204,0.751673,2.593,0.999824,0.448837
36,6.02942,1.54911,0.796274,2.69298,0.999819,0.0705751
37,6.21776,1.74159,0.803074,2.79297,0.99981,-0.451697
38,6.41173,1.94254,0.75468,2.89295,0.999799,-0.449005
39,6.62248,2.14072,0.704898,2.99293,0.999786,-0.448994
40,6.85044,2.33465,0.653397,3.09291,0.999773,-0.448934
41,7.09602,2.52267,0.600183,3.19288,0.99976,-0.448842
42,7.35951,2.703,0.545262,3.29286,0.999749,-0.448764
43,7.64105,2.87378,0.488633,3.39283,0.999741,-0.449068
44,7.94063,3.03305,0.43024,3.49281,0.999758,-0.443066
45,8.25808,3.17873,0.371045,3.59278,0.999863,-0.435588
46,8.5929,3.309,0.311328,3.69277,0.967226,-0.462306
47,8.94443,3.42212,0.245606,3.78949,0.525402,-0.450053
48,9.31201,3.51426,0.180221,3.84203,0.168578,-0.447069
49,9.68999,3.58312,0.114434,3.85889,-0.153909,-0.449887
50,10.0734,3.62719,0.0478799,3.8435,-0.465448,-0.45097
51,10.4573,3.64558,-0.0185922,3.79695,-0.788947,-0.450865
52,10.8369,3.63852,-0.0842419,3.71806,-0.999941,-0.450691
53,11.2074,3.60724,-0.148499,3.61807,-0.999926,-0.450459
54,11.5652,3.55371,-0.210991,3.51807,-0.999947,0.4071
55,11.9092,3.48003,-0.156814,3.41808,,
