k,x0,x1,x2,x3,u0,u1
0,0,0,0,2.5,0.15,0.04
1,0.25,0,0.00357333,2.515,0.15,0.04
2,0.501498,0.000898692,0.00716811,2.53,0.15,0.04
3,0.754492,0.00271221,0.0107843,2.545,0.15,0.04
4,1.00898,0.00545676,0.014422,2.56,0.15,0.04
5,1.26495,0.00914866,0.0180811,2.575,0.15,0.04
6,1.52241,0.0138043,0.0217616,2.59,0.15,0.04
7,1.78135,0.0194401,0.0254636,2.605,0.15,0.04
8,2.04176,0.0260726,0.029187,2.62,0.15,0.04
9,2.30365,0.0337186,0.0329319,2.635,0.15,0.04
10,2.56701,0.0423945,0.0366981,2.65,0,0.04
11,2.83183,0.0521174,0.0404859,2.65,0,0.04
12,3.09661,0.0628432,0.0442736,2.65,0,0.04
13,3.36135,0.0745719,0.0480613,2.65,0,0.04
14,3.62605,0.0873032,0.0518491,2.65,0,0.04
15,3.89069,0.101037,0.0556368,2.65,0,0.04
16,4.15528,0.115773,0.0594246,2.65,0,0.04
17,4.41981,0.131511,0.0632123,2.65,0,0.04
18,4.68428,0.148252,0.067,2.65,0,0.04
19,4.94869,0.165993,0.0707878,2.65,0,0.04
20,5.21303,0.184736,0.0745755,2.65,0,0.04
21,5.47729,0.204481,0.0783632,2.65,0,0.04
22,5.74148,0.225226,0.082151,2.65,0,0.04
23,6.00558,0.246971,0.0859387,2.65,0,0.04
24,6.2696,0.269717,0.0897264,2.65,0,0.04
25,6.53354,0.293462,0.0935142,2.65,0,0.04
26,6.79738,0.318208,0.0973019,2.65,0,0.04
27,7.06113,0.343952,0.10109,2.65,0,0.04
28,7.32477,0.370695,0.104877,2.65,0,0.04
29,7.58832,0.398437,0.108665,2.65,0,0.04
30,7.85175,0.427176,0.112453,2.65,0,0.04
31,8.11508,0.456914,0.116241,2.65,0,0.04
32,8.37829,0.487648,0.120028,2.65,0,0.04
33,8.64139,0.519379,0.123816,2.65,0,0.04
34,8.90436,0.552107,0.127604,2.65,0,0.04
35,9.1672,0.58583,0.131392,2.65,0,0.04
36,9.42992,0.620549,0.135179,2.65,0,0.04
37,9.6925,0.656262,0.138967,2.65,0,0.04
38,9.95495,0.69297,0.142755,2.65,0,0.04
39,10.2173,0.730672,0.146542,2.65,0,0.04
40,10.4794,0.769366,0.15033,2.65,0,0.04
41,10.7414,0.809054,0.154118,2.65,0,0.04
42,11.0033,0.849734,0.157906,2.65,0,0.04
43,11.265,0.891405,0.161693,2.65,0,0.04
44,11.5265,0.934067,0.165481,2.65,0,0.04
45,11.7879,0.97772,0.169269,2.65,0,0.04
46,12.0491,1.02236,0.173057,2.65,0,0.04
47,12.3102,1.06799,0.176844,2.65,0,0.04
48,12.571,1.11461,0.180632,2.65,0,0.04
49,12.8317,1.16222,0.18442,2.65,0,0.04
50,13.0922,1.21082,0.188208,2.65,0,0.04
51,13.3525,1.2604,0.191995,2.65,0,0.04
52,13.6127,1.31096,0.195783,2.65,0,0.04
53,13.8726,1.36252,0.199571,2.65,0,0.04
54,14.1324,1.41505,0.203358,2.65,0,0.04
55,14.3919,1.46857,0.207146,2.65,0,0.04
56,14.6512,1.52307,0.210934,2.65,0,0.04
57,14.9104,1.57856,0.214722,2.65,0,0.04
58,15.1693,1.63502,0.218509,2.65,0,0.04
59,15.428,1.69247,0.222297,2.65,0,0.04
60,15.6864,1.75089,0.226085,2.65,0,0.04
61,15.9447,1.8103,0.229873,2.65,0,0.04
62,16.2027,1.87068,0.23366,2.65,0,0.04
63,16.4605,1.93203,0.237448,2.65,0,0.04
64,16.7181,1.99437,0.241236,2.65,0,0.04
65,16.9754,2.05768,0.245024,2.65,0,0.04
66,17.2325,2.12196,0.248811,2.65,0,0.04
67,17.4893,2.18722,0.252599,2.65,0,0.04
68,17.7459,2.25345,0.256387,2.65,0,0.04
69,18.0023,2.32065,0.260174,2.65,0,0.04
70,18.2584,2.38882,0.263962,2.65,0,0.04
71,18.5142,2.45796,0.26775,2.65,0,0.04
72,18.7697,2.52807,0.271538,2.65,0,0.04
73,19.025,2.59914,0.275325,2.65,0,0.04
74,19.28,2.67119,0.279113,2.65,0,0.04
75,19.5348,2.7442,0.282901,2.65,0,0.04
76,19.7893,2.81817,0.286689,2.65,0,0.04
77,20.0434,2.8931,0.290476,2.65,0,0.04
78,20.2973,2.969,0.294264,2.65,0,0.04
79,20.5509,3.04586,0.298052,2.65,0,0.04
80,20.8043,3.12368,0.30184,2.65,,
