k,x0,x1,x2,x3,u0,u1
0,0,0,0,2.5,1.00151,1.33058
1,0.25,0,0.364514,2.60015,1.00122,0.512672
2,0.492931,0.0926942,0.416784,2.70027,1.00095,0.508666
3,0.739843,0.202007,0.470559,2.80037,1.0007,0.503842
4,0.989444,0.328971,0.525696,2.90044,1.00045,0.498199
5,1.24032,0.47452,0.582044,3.00048,1.00022,0.491745
6,1.49097,0.639466,0.639442,3.10051,0.99997,0.482768
7,1.73976,0.824488,0.697481,3.2005,0.999968,0.44995
8,1.98507,1.03005,0.752689,3.3005,0.999966,0.0817828
9,2.22596,1.25568,0.76235,3.4005,0.999964,-0.449949
10,2.47188,1.49052,0.703693,3.50049,0.999961,-0.449936
11,2.73878,1.71702,0.643312,3.60049,0.999954,-0.449921
12,3.02686,1.93299,0.581209,3.70048,0.999954,-0.449983
13,3.33615,2.13616,0.517372,3.80048,0.999953,-0.44999
14,3.66646,2.32413,0.451807,3.90047,0.999951,-0.449989
15,4.01737,2.49442,0.384518,4.00047,0.999948,-0.449988
16,4.3882,2.64449,0.315504,4.10046,0.999944,-0.449988
17,4.77801,2.77172,0.244766,4.20046,0.999938,-0.449987
18,5.18553,2.87351,0.172302,4.30045,0.999928,-0.449986
19,5.60921,2.94724,0.0981132,4.40045,-0.0297085,-0.449985
20,6.04714,2.99035,0.0221998,4.39747,-0.99993,-0.449984
21,6.48678,3.00011,-0.0536623,4.29748,-0.999939,-0.449982
22,6.91591,2.97706,-0.127799,4.19749,-0.999946,-0.44998
23,7.33223,2.92356,-0.20021,4.09749,-0.999951,-0.449977
24,7.7338,2.84207,-0.270896,3.9975,-0.999954,-0.449975
25,8.11897,2.7351,-0.339856,3.8975,-0.999956,-0.449972
26,8.48643,2.60518,-0.407091,3.79751,-0.999958,-0.44997
27,8.83514,2.45482,-0.4726,3.69751,-0.999959,-0.449967
28,9.16437,2.28651,-0.536384,3.59752,-0.99996,-0.449965
29,9.47359,2.10266,-0.598443,3.49752,-0.99996,-0.449963
30,9.76256,1.90563,-0.658776,3.39752,-0.99996,-0.449953
31,10.0312,1.69765,-0.717383,3.29753,-0.99996,-0.18732
32,10.2797,1.48087,-0.739705,3.19753,-0.99996,0.449945
33,10.5159,1.26533,-0.684549,3.09754,-0.99996,0.449954
34,10.7559,1.06946,-0.631117,2.99754,-0.99996,0.449958
35,10.9979,0.892596,-0.579409,2.89754,-0.99996,0.449959
36,11.2403,0.733947,-0.529426,2.79755,-0.99996,0.44996
37,11.4818,0.59266,-0.481168,2.69755,-0.999959,0.44996
38,11.7209,0.467814,-0.434634,2.59756,-0.999958,0.44996
39,11.9565,0.358436,-0.389826,2.49756,-0.999958,0.449959
40,12.1875,0.263522,-0.346743,2.39756,-0.999957,0.449958
41,12.413,0.182044,-0.305385,2.29757,-0.999956,0.449956
42,12.6321,0.112965,-0.265751,2.19757,-0.999955,0.449954
43,12.8442,0.0552496,-0.227843,2.09758,-0.999954,0.449952
44,13.0485,0.00787008,-0.191661,1.99758,-0.999953,0.449949
45,13.2446,-0.0301817,-0.157203,1.89759,-0.999952,0.449946
46,13.432,-0.0598896,-0.12447,1.79759,-0.99995,0.449943
47,13.6104,-0.0822065,-0.0934627,1.6976,-0.999949,0.44994
48,13.7794,-0.0980496,-0.0641804,1.5976,-0.999948,0.449936
49,13.9389,-0.108296,-0.0366231,1.49761,-0.999946,0.449933
50,14.0885,-0.113779,-0.0107908,1.39761,-0.999945,0.449928
51,14.2283,-0.115288,0.0133163,1.29762,-0.999943,0.449921
52,14.358,-0.11356,0.0356983,1.19762,-0.999941,0.449911
53,14.4777,-0.109285,0.0563549,1.09763,-0.999939,0.287298
54,14.5873,-0.103103,0.0679377,0.997635,-0.999938,0.167682
55,14.6868,-0.0963304,0.0739688,0.897641,-0.999936,0.089133
56,14.7764,-0.0896967,0.0768339,0.797648,-0.999934,0.0361345
57,14.8559,-0.0835741,0.0778637,0.697654,-0.999932,0.00180515
58,14.9254,-0.0781474,0.0779087,0.597661,-0.999929,-0.0182125
59,14.985,-0.0734958,0.0775199,0.497668,-0.999924,-0.0273245
60,15.0346,-0.0696417,0.0770341,0.397676,-0.999918,-0.0284561
61,15.0743,-0.0665813,0.0766299,0.297684,-0.984544,-0.0241774
62,15.104,-0.0643024,0.0763728,0.199229,-0.678313,-0.0168814
63,15.1238,-0.0627823,0.0762527,0.131398,-0.38747,-0.0110764
64,15.1369,-0.0617813,0.0762007,0.0926512,-0.104824,-0.00756812
65,15.1462,-0.061076,0.0761756,0.0821688,0.176625,-0.00643748
66,15.1544,-0.0604507,0.0761567,0.0998314,0.463861,-0.00753099
67,15.1643,-0.0596911,0.0761299,0.146218,0.764015,-0.0108008
68,15.1789,-0.0585791,0.0760735,0.222619,0.999912,-0.0165477
69,15.2011,-0.0568872,0.0759419,0.32261,0.99992,-0.0248676
70,15.2333,-0.0544395,0.0756553,0.422602,0.999926,-0.0344739
71,15.2754,-0.0512454,0.0751348,0.522595,0.99993,-0.0456327
72,15.3275,-0.0473226,0.0742825,0.622588,0.999933,-0.0584541
73,15.3896,-0.0427021,0.0729813,0.722581,0.999935,-0.0729294
74,15.4617,-0.0374333,0.0710959,0.822575,0.999937,-0.0889672
75,15.5437,-0.03159,0.0684753,0.922568,0.999939,-0.106428
76,15.6358,-0.0252776,0.0649554,1.02256,0.99994,-0.125151
77,15.7378,-0.0186402,0.0603608,1.12256,0.999942,-0.144971
78,15.8499,-0.0118685,0.0545077,1.22255,0.999944,-0.165716
79,15.9719,-0.00520796,0.0472052,1.32254,0.999946,-0.187179
80,16.104,0.00103282,0.0382593,1.42254,,
