outer_iteration,inner_iterations,base_cost,augmented_cost,max_violation,best_violation_so_far,max_penalty,penalty_updated
1,35,331.009,362.533,1.05671,1.05671,15,0
2,31,351.417,389.154,1.05798,1.05671,15,1
3,17,373.859,459.975,0.882567,0.882567,75,1
4,25,418.025,707.802,0.884092,0.882567,375,1
5,35,515.637,1666.33,0.881917,0.881917,1875,1
6,19,557.221,6135.48,0.880603,0.880603,9375,1
7,3,561.401,28399.4,0.880582,0.880582,46875,1
8,1,561.405,139716,0.880582,0.880582,234375,1
9,1,561.429,696298,0.880582,0.880582,1.17188e+06,1
10,1,561.443,3.47921e+06,0.880582,0.880582,5.85938e+06,1
11,1,561.51,1.73938e+07,0.880581,0.880581,2.92969e+07,1
