k,x0,x1,x2,u0,u1
0,0,0,0.15,0.65,0.38
1,0.0642701,0.00971348,0.188,0.65,0.38
2,0.128125,0.0218616,0.226,0.65,0.38
3,0.191472,0.0364269,0.264,0.65,0.38
4,0.25422,0.0533883,0.302,0.65,0.38
5,0.316278,0.0727212,0.34,0.65,0.38
6,0.377557,0.0943979,0.378,0.65,0.38
7,0.437969,0.118387,0.416,0.65,0.38
8,0.497425,0.144654,0.454,0.65,0.38
9,0.55584,0.17316,0.492,0.65,0.38
10,0.613131,0.203866,0.53,0.65,0.38
11,0.669213,0.236725,0.568,0.65,0.38
12,0.724007,0.271692,0.606,0.65,0.38
13,0.777432,0.308715,0.644,0.65,0.38
14,0.829413,0.347741,0.682,0.65,0.38
15,0.879873,0.388713,0.72,0.65,-0.12
16,0.928741,0.431573,0.708,0.65,-0.12
17,0.978119,0.473844,0.696,0.65,-0.12
18,1.028,0.515519,0.684,0.65,-0.12
19,1.07838,0.556592,0.672,0.65,-0.12
20,1.12925,0.597058,0.66,0.65,-0.12
21,1.1806,0.636911,0.648,0.65,-0.12
22,1.23242,0.676144,0.636,0.65,-0.12
23,1.28471,0.714753,0.624,0.65,-0.12
24,1.33746,0.752732,0.612,0.65,-0.12
25,1.39066,0.790075,0.6,0.65,-0.12
26,1.44431,0.826776,0.588,0.65,-0.12
27,1.49839,0.862832,0.576,0.65,-0.12
28,1.55291,0.898236,0.564,0.65,-0.12
29,1.60784,0.932983,0.552,0.65,-0.12
30,1.66319,0.967068,0.54,0.65,-0.12
31,1.71894,1.00049,0.528,0.65,-0.12
32,1.77508,1.03323,0.516,0.65,-0.12
33,1.83162,1.06531,0.504,0.65,-0.12
34,1.88854,1.0967,0.492,0.65,-0.12
35,1.94583,1.1274,0.48,0.65,-0.12
36,2.00348,1.15742,0.468,0.65,-0.12
37,2.0615,1.18674,0.456,0.65,-0.12
38,2.11985,1.21536,0.444,0.65,-0.12
39,2.17855,1.24328,0.432,0.65,-0.12
40,2.23758,1.2705,0.42,0.65,-0.12
41,2.29693,1.297,0.408,0.65,-0.12
42,2.3566,1.32279,0.396,0.65,-0.12
43,2.41656,1.34787,0.384,0.65,-0.12
44,2.47683,1.37222,0.372,0.65,-0.12
45,2.53739,1.39584,0.36,,
