k,x0,x1,x2,x3,u0,u1
0,0,0,0,2.5,0.2,0.28
1,0.25,0,0.0256745,2.52,0.2,0.28
2,0.501917,0.00646926,0.0515544,2.54,0.2,0.28
3,0.755579,0.0195583,0.0776397,2.56,0.2,0.28
4,1.01081,0.0394141,0.10393,2.58,0.2,0.28
5,1.26742,0.0661799,0.130426,2.6,0.2,0.28
6,1.52521,0.0999947,0.157128,2.62,0.2,0.28
7,1.78398,0.140993,0.184035,2.64,0.2,0.28
8,2.04352,0.189304,0.211147,2.66,0,0.28
9,2.30361,0.245053,0.238465,2.66,0,0.28
10,2.56209,0.307885,0.265782,2.66,0,0.28
11,2.81875,0.377754,0.2931,2.66,0,0.28
12,3.0734,0.454607,0.320418,2.66,0,0.28
13,3.32586,0.538387,0.347735,2.66,0,0.28
14,3.57594,0.629032,0.375053,2.66,0,0.28
15,3.82345,0.726473,0.402371,2.66,0,-0.24
16,4.06821,0.830639,0.379123,2.66,0,-0.24
17,4.31532,0.929087,0.355874,2.66,0,-0.24
18,4.56465,1.02176,0.332626,2.66,0,-0.24
19,4.81607,1.10862,0.309378,2.66,0,-0.24
20,5.06945,1.18961,0.28613,2.66,0,-0.24
21,5.32463,1.26468,0.262882,2.66,0,-0.24
22,5.58149,1.33381,0.239634,2.66,0,-0.24
23,5.83989,1.39694,0.216386,2.66,0,-0.24
24,6.09969,1.45405,0.193138,2.66,0,-0.24
25,6.36074,1.50511,0.16989,2.66,0,-0.24
26,6.62291,1.55008,0.146642,2.66,0,-0.24
27,6.88606,1.58895,0.123394,2.66,0,-0.24
28,7.15004,1.62169,0.100146,2.66,0,-0.24
29,7.4147,1.64828,0.0768974,2.66,0,-0.24
30,7.67992,1.66872,0.0536494,2.66,0,0.08
31,7.94553,1.68298,0.0612656,2.66,0,0.08
32,8.21103,1.69927,0.0688819,2.66,0,0.08
33,8.4764,1.71758,0.0764981,2.66,0,0.08
34,8.74163,1.73791,0.0841144,2.66,0,0.08
35,9.00669,1.76025,0.0917306,2.66,0,0.08
36,9.27157,1.78462,0.0993469,2.66,0,0.08
37,9.53626,1.811,0.106963,2.66,0,0.08
38,9.80074,1.8394,0.114579,2.66,0,0.08
39,10.065,1.86981,0.122196,2.66,0,0.08
40,10.329,1.90224,0.129812,2.66,0,0.08
41,10.5928,1.93667,0.137428,2.66,0,0.08
42,10.8563,1.97311,0.145044,2.66,0,0.08
43,11.1195,2.01156,0.152661,2.66,0,0.08
44,11.3824,2.05201,0.160277,2.66,0,0.08
45,11.645,2.09446,0.167893,2.66,0,0.08
46,11.9072,2.13891,0.175509,2.66,0,0.08
47,12.1691,2.18535,0.183126,2.66,0,0.08
48,12.4307,2.23379,0.190742,2.66,0,0.08
49,12.6919,2.28422,0.198358,2.66,0,0.08
50,12.9527,2.33664,0.205974,2.66,0,0.08
51,13.213,2.39104,0.213591,2.66,0,0.08
52,13.473,2.44743,0.221207,2.66,0,0.08
53,13.7325,2.50579,0.228823,2.66,0,0.08
54,13.9916,2.56613,0.236439,2.66,0,0.08
55,14.2502,2.62844,0.244056,2.66,,
