k,x0,x1,x2,x3,u0,u1
0,0,0,0,2.5,0.1,0
1,0.25,0,0,2.51,0.1,0
2,0.501,0,0,2.52,0.1,0
3,0.753,0,0,2.53,0.1,0
4,1.006,0,0,2.54,0.1,0
5,1.26,0,0,2.55,0.1,0
6,1.515,0,0,2.56,0.1,0
7,1.771,0,0,2.57,0.1,0
8,2.028,0,0,2.58,0,0
9,2.286,0,0,2.58,0,0
10,2.544,0,0,2.58,0,0
11,2.802,0,0,2.58,0,0
12,3.06,0,0,2.58,0,0
13,3.318,0,0,2.58,0,0
14,3.576,0,0,2.58,0,0
15,3.834,0,0,2.58,0,0
16,4.092,0,0,2.58,0,0
17,4.35,0,0,2.58,0,0
18,4.608,0,0,2.58,0,0
19,4.866,0,0,2.58,0,0
20,5.124,0,0,2.58,0,0
21,5.382,0,0,2.58,0,0
22,5.64,0,0,2.58,0,0
23,5.898,0,0,2.58,0,0
24,6.156,0,0,2.58,0,0
25,6.414,0,0,2.58,0,0
26,6.672,0,0,2.58,0,0
27,6.93,0,0,2.58,0,0
28,7.188,0,0,2.58,0,0
29,7.446,0,0,2.58,0,0
30,7.704,0,0,2.58,0,0
31,7.962,0,0,2.58,0,0
32,8.22,0,0,2.58,0,0
33,8.478,0,0,2.58,0,0
34,8.736,0,0,2.58,0,0
35,8.994,0,0,2.58,0,0
36,9.252,0,0,2.58,0,0
37,9.51,0,0,2.58,0,0
38,9.768,0,0,2.58,0,0
39,10.026,0,0,2.58,0,0
40,10.284,0,0,2.58,0,0
41,10.542,0,0,2.58,0,0
42,10.8,0,0,2.58,0,0
43,11.058,0,0,2.58,0,0
44,11.316,0,0,2.58,0,0
45,11.574,0,0,2.58,0,0
46,11.832,0,0,2.58,0,0
47,12.09,0,0,2.58,0,0
48,12.348,0,0,2.58,0,0
49,12.606,0,0,2.58,0,0
50,12.864,0,0,2.58,0,0
51,13.122,0,0,2.58,0,0
52,13.38,0,0,2.58,0,0
53,13.638,0,0,2.58,0,0
54,13.896,0,0,2.58,0,0
55,14.154,0,0,2.58,0,0
56,14.412,0,0,2.58,0,0
57,14.67,0,0,2.58,0,0
58,14.928,0,0,2.58,0,0
59,15.186,0,0,2.58,0,0
60,15.444,0,0,2.58,0,0
61,15.702,0,0,2.58,0,0
62,15.96,0,0,2.58,0,0
63,16.218,0,0,2.58,0,0
64,16.476,0,0,2.58,0,0
65,16.734,0,0,2.58,0,0
66,16.992,0,0,2.58,0,0
67,17.25,0,0,2.58,0,0
68,17.508,0,0,2.58,0,0
69,17.766,0,0,2.58,0,0
70,18.024,0,0,2.58,0,0
71,18.282,0,0,2.58,0,0
72,18.54,0,0,2.58,0,0
73,18.798,0,0,2.58,0,0
74,19.056,0,0,2.58,0,0
75,19.314,0,0,2.58,0,0
76,19.572,0,0,2.58,0,0
77,19.83,0,0,2.58,0,0
78,20.088,0,0,2.58,0,0
79,20.346,0,0,2.58,0,0
80,20.604,0,0,2.58,,
