k,outer_1_x,outer_1_y,outer_2_x,outer_2_y,outer_3_x,outer_3_y,outer_4_x,outer_4_y,outer_5_x,outer_5_y,outer_6_x,outer_6_y,outer_7_x,outer_7_y,outer_8_x,outer_8_y,outer_9_x,outer_9_y,outer_10_x,outer_10_y,outer_11_x,outer_11_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
2,0.499731,0.0815663,0.491741,0.0967198,0.492788,0.0935185,0.492447,0.0940733,0.492737,0.0932097,0.492928,0.0927025,0.492931,0.0926946,0.492931,0.0926945,0.492931,0.0926944,0.492931,0.0926943,0.492931,0.0926942
3,0.756196,0.181696,0.737955,0.20934,0.739649,0.20372,0.738872,0.204691,0.739436,0.203015,0.739835,0.202028,0.739843,0.202008,0.739843,0.202008,0.739843,0.202007,0.739843,0.202007,0.739843,0.202007
4,1.01725,0.302908,0.987484,0.338831,0.989316,0.331574,0.988026,0.332814,0.988821,0.330418,0.989429,0.329007,0.989444,0.328972,0.989444,0.328972,0.989444,0.328972,0.989444,0.328972,0.989444,0.328971
5,1.2801,0.447934,1.23915,0.485952,1.24042,0.47794,1.23856,0.479298,1.23951,0.476317,1.2403,0.474569,1.24032,0.474521,1.24032,0.474521,1.24032,0.47452,1.24032,0.47452,1.24032,0.47452
6,1.54119,0.619643,1.49183,0.651168,1.4915,0.643566,1.48904,0.644873,1.49002,0.64149,1.49094,0.639526,1.49097,0.639467,1.49097,0.639467,1.49097,0.639467,1.49097,0.639467,1.49097,0.639466
7,1.79734,0.819098,1.74341,0.836204,1.74106,0.829009,1.73797,0.830134,1.73878,0.826576,1.73973,0.824551,1.73976,0.824489,1.73976,0.824489,1.73976,0.824489,1.73976,0.824489,1.73976,0.824488
8,2.05002,1.04161,1.99153,1.04252,1.98727,1.03504,1.98371,1.03565,1.98417,1.03207,1.98503,1.03012,1.98507,1.03005,1.98507,1.03005,1.98507,1.03005,1.98507,1.03005,1.98507,1.03005
9,2.30722,1.27691,2.24069,1.26355,2.23457,1.25527,2.22469,1.26165,2.22498,1.25779,2.2259,1.25577,2.22595,1.25568,2.22595,1.25568,2.22595,1.25568,2.22595,1.25568,2.22596,1.25568
